v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,"Actually, What are you doing this weekend? thanks 8034",,,
ham,"Also, Just landed, will call you soon no rush",,,
ham,"Hey, Can we reschedule our meeting to Friday? :)",,,
ham,"Also, The kids are asking when you'll be back see ya",,,
ham,"So I'll pay you back on Friday, promise ok?",,,
ham,"GOOD MORNING, HOPE YOU SLEPT WELL OK?",,,
ham,"ACTUALLY, JUST LANDED, WILL CALL YOU SOON SEE YA",,,
ham,"Ok, U dun say so early hor, u c already then say haha",,,
spam,NOTICE: FreeMsg: Txt CALL to 86888 and claim your reward of 3 hours talk time to use from your phone now Limited time only,,,
ham,"Ok, Mom said dinner is ready, come home no rush 8080",,,
ham,"Ok, Can you pick up milk on your way home? no rush",,,
ham,"Actually, Thanks for helping me move last weekend haha",,,
ham,"ALSO, HOW WAS YOUR EXAM TODAY? SEE YA",,,
ham,"Btw, Sorry I missed your call, was in a meeting ok?",,,
ham,"Hey, Did you finish the report yet? see ya",,,
ham,"Hey, Nah I don't think I can make it tonight :) 7237",,,
ham,"Well, Did you finish the report yet? see ya",,,
ham,"Also, Lol that's so funny, send me the video thanks",,,
ham,So Can you send me the address again? :),,,
ham,"Hey, I'm on my way, be there in 10 mins",,,
ham,So I'll be there in five minutes haha,,,
ham,"Well, Please remember to feed the cat haha",,,
ham,"ALSO, HEY, ARE YOU FREE TONIGHT? LET'S GRAB DINNER NO RUSH",,,
ham,"Ok, Can you send me the address again? haha",,,
ham,So Can you send me the address again? see ya,,,
ham,"Also, Can you pick up milk on your way home? haha",,,
spam,"Dear customer, FREE entry into our weekly draw! Text WIN to 80086 now to claim your prize before it expires 9846",,,
spam,ALERT: You have won a guaranteed cash prize! Reply CASH to claim your reward of £2000 now before offer ends Offer ends soon,,,
ham,"Hey, Mom said dinner is ready, come home haha 9148",,,
ham,"Btw, I'll pay you back on Friday, promise let me know 4659",,,
ham,"Hey, What are you doing this weekend? thanks",,,
ham,"Ok, Ok lar... I'll call you later no rush",,,
spam,"DEAR CUSTOMER, WINNER!! AS A VALUED CUSTOMER YOU HAVE BEEN SELECTED TO RECEIVE A £900 PRIZE REWARD! CALL NOW",,,
ham,"Ok, I'm on my way, be there in 10 mins see ya 3167",,,
ham,So What time does the movie start? ok?,,,
spam,"DEAR CUSTOMER, CONGRATULATIONS! YOU HAVE BEEN SELECTED TO RECEIVE A FREE IPHONE. CLAIM NOW BY TEXTING CLAIM TO 84484 REPLY STOP TO OPT OUT 1807",,,
ham,"Ok, Did you finish the report yet? haha 4965",,,
spam,NOTICE: FREE entry into our weekly draw! Text WIN to 80086 now to claim your prize before it expires Offer ends soon,,,
ham,"Btw, Let's meet at the coffee shop at 9 haha",,,
ham,"Actually, See you at the usual place tomorrow",,,
ham,"HEY, THANKS FOR HELPING ME MOVE LAST WEEKEND LET ME KNOW",,,
ham,"HEY, I'LL PAY YOU BACK ON FRIDAY, PROMISE LET ME KNOW",,,
ham,Let's meet at the coffee shop at 9 no rush,,,
ham,"Also, Ok lar... I'll call you later let me know 9452",,,
ham,"Also, I'll be there in five minutes see ya",,,
spam,"Dear customer, Last chance! Claim your free prize now by calling 09050002311, offer closes at midnight tonight",,,
ham,"Also, I'll be there in five minutes let me know 7609",,,
ham,"Also, Please remember to feed the cat thanks",,,
ham,"ACTUALLY, OK LAR... I'LL CALL YOU LATER :) 1686",,,
ham,"SO I'M ON MY WAY, BE THERE IN 10 MINS SEE YA",,,
spam,"Hi, Congratulations! You've been selected to receive a FREE £1000 cash reward. Text CLAIM to 88888 now Offer ends soon 2264",,,
ham,"Btw, What are you doing this weekend? :)",,,
ham,"Btw, Don't forget to bring your charger :)",,,
ham,SO WHAT ARE YOU DOING THIS WEEKEND? NO RUSH,,,
ham,Thanks for helping me move last weekend,,,
ham,"Also, Did you finish the report yet? :)",,,
spam,"Hi, Text STOP to opt out or reply YES to claim your free entry into this week's £1000 prize draw Limited time only 1427",,,
ham,"Well, Sorry I missed your call, was in a meeting haha",,,
spam,You have won a guaranteed cash prize! Reply CASH to claim your reward of £2000 now before offer ends 5341,,,
ham,"Hey, Ok lar... I'll call you later haha",,,
ham,"Actually, How was your exam today? let me know",,,
ham,"Also, I'll pay you back on Friday, promise :)",,,
ham,"Actually, What time does the movie start? haha",,,
ham,"Lol that's so funny, send me the video 8109",,,
ham,So I'll be there in five minutes :),,,
ham,"Actually, I'll be there in five minutes haha",,,
ham,"Well, Cool, see you then see ya 2045",,,
ham,"ACTUALLY, WHAT ARE YOU DOING THIS WEEKEND?",,,
ham,"Ok, Can we reschedule our meeting to Friday? thanks",,,
ham,"Ok, I left my keys at your place, can you check? no rush",,,
ham,"Well, Hey, are you free tonight? Let's grab dinner thanks",,,
ham,"Actually, Good morning, hope you slept well haha",,,
ham,"Also, Don't forget to bring your charger :)",,,
ham,So Can you pick up milk on your way home? ok? 2463,,,
ham,"Hey, Cool, see you then see ya",,,
ham,"Hey, Ok lar... I'll call you later :)",,,
ham,"Ok, Can you pick up milk on your way home? :)",,,
ham,"Well, The kids are asking when you'll be back no rush 2284",,,
ham,So I'll be there in five minutes see ya,,,
spam,NOTICE: URGENT! Your mobile number has won a prize of £5000! Call 09061743806 from a landline to claim Reply STOP to opt out,,,
ham,"Well, I'll be there in five minutes ok? 5671",,,
ham,So How was your exam today? no rush 4978,,,
ham,So Can you pick up milk on your way home? 8538,,,
ham,"Also, I left my keys at your place, can you check? haha 9998",,,
spam,"NOTICE: Bonus prize alert! You have won a £1500 cash reward, text WON to 87066 now to claim your reward",,,
ham,"Btw, Mom said dinner is ready, come home ok?",,,
ham,See you at the usual place tomorrow let me know,,,
ham,"Ok, Ok lar... I'll call you later haha",,,
ham,"Hey, I'm on my way, be there in 10 mins no rush",,,
spam,"HI, URGENT! YOUR MOBILE NUMBER HAS WON A PRIZE OF £5000! CALL 09061743806 FROM A LANDLINE TO CLAIM T&CS APPLY",,,
ham,"Ok, I'm running late, traffic is bad let me know",,,
ham,"Actually, Mom said dinner is ready, come home :)",,,
spam,"Hi, You have been randomly selected to win a shopping voucher. Text SHOP to 85023 now for free entry",,,
ham,Did you finish the report yet? thanks,,,
ham,So Ok lar... I'll call you later see ya,,,
ham,"Hey, How was your exam today? 6175",,,
ham,"Ok, How was your exam today? let me know 9759",,,
spam,ALERT: URGENT! Your mobile number has won a prize of £5000! Call 09061743806 from a landline to claim,,,
ham,"Well, Happy birthday! Hope you have a great day see ya",,,
ham,Can you pick up milk on your way home? let me know,,,
spam,NOTICE: FREE MSG: You are eligible for a discount on your next mobile bill. Call 08000930705 now to claim Offer ends soon,,,
ham,"Also, Can you pick up milk on your way home? :)",,,
ham,"So I'm on my way, be there in 10 mins ok? 5262",,,
spam,"Hi, Text STOP to opt out or reply YES to claim your free entry into this week's £1000 prize draw Limited time only",,,
ham,"So I'll pay you back on Friday, promise let me know 6050",,,
ham,"U DUN SAY SO EARLY HOR, U C ALREADY THEN SAY HAHA",,,
ham,"Hey, Lol that's so funny, send me the video ok? 5597",,,
ham,Can you pick up milk on your way home?,,,
ham,"ALSO, CAN YOU SEND ME THE ADDRESS AGAIN? LET ME KNOW 2885",,,
ham,"BTW, NAH I DON'T THINK I CAN MAKE IT TONIGHT HAHA",,,
ham,So How was your exam today? no rush,,,
ham,"HEY, PLEASE REMEMBER TO FEED THE CAT HAHA 9383",,,
spam,"ALERT: Your account has been credited with £500. Reply YES to claim your bonus now, offer ends today T&Cs apply",,,
spam,"Dear customer, Your account has been credited with £500. Reply YES to claim your bonus now, offer ends today Offer ends soon",,,
spam,ALERT: FREE entry into our weekly draw! Text WIN to 80086 now to claim your prize before it expires Offer ends soon,,,
ham,OK LAR... I'LL CALL YOU LATER LET ME KNOW,,,
ham,"Actually, Can you pick up milk on your way home? thanks",,,
ham,"Hey, I'm running late, traffic is bad haha",,,
ham,"Actually, Ok lar... I'll call you later haha 8847",,,
ham,"I'm on my way, be there in 10 mins ok?",,,
ham,So Ok lar... I'll call you later :),,,
spam,NOTICE: Win a brand new car by entering our free draw. Text CAR to 89545 before offer closes tonight Limited time only 4296,,,
ham,How was your exam today? see ya,,,
ham,"WELL, U DUN SAY SO EARLY HOR, U C ALREADY THEN SAY THANKS",,,
ham,So How was your exam today? no rush,,,
ham,"Actually, Did you finish the report yet? thanks",,,
ham,"Well, How was your exam today? see ya",,,
ham,"So I'm at the gym, call you after see ya",,,
ham,"Btw, Can you pick up milk on your way home?",,,
ham,"Also, I left my keys at your place, can you check? :)",,,
ham,"Also, I'll be there in five minutes let me know 7609",,,
ham,"Actually, Sorry I missed your call, was in a meeting haha 2213",,,
spam,ALERT: WINNER!! As a valued customer you have been selected to receive a £900 prize reward! Call now T&Cs apply 1483,,,
ham,"So Good morning, hope you slept well no rush",,,
ham,"Well, I'm on my way, be there in 10 mins ok? 2228",,,
ham,SO I'LL BE THERE IN FIVE MINUTES LET ME KNOW,,,
ham,"Hey, Let's meet at the coffee shop at 9 see ya",,,
ham,"Well, Can we reschedule our meeting to Friday? :)",,,
ham,"Also, Can we reschedule our meeting to Friday? see ya 4155",,,
ham,"I'M ON MY WAY, BE THERE IN 10 MINS OK?",,,
ham,"Also, Thanks for helping me move last weekend :) 5681",,,
ham,So Happy birthday! Hope you have a great day haha,,,
ham,"Actually, Thanks for helping me move last weekend thanks",,,
ham,"Hey, Can you pick up milk on your way home? haha 7504",,,
ham,So What are you doing this weekend? no rush,,,
ham,"Also, Can you send me the address again?",,,
spam,"Hi, You have been randomly selected to win a shopping voucher. Text SHOP to 85023 now for free entry T&Cs apply",,,
spam,You have won a guaranteed cash prize! Reply CASH to claim your reward of £2000 now before offer ends 5341,,,
ham,"Hey, Did you finish the report yet? :)",,,
ham,"Well, Cool, see you then ok? 2285",,,
ham,"Also, Good morning, hope you slept well let me know 4652",,,
ham,"ACTUALLY, THANKS FOR HELPING ME MOVE LAST WEEKEND OK?",,,
ham,"Btw, I'm running late, traffic is bad thanks",,,
ham,"Also, I'm at the gym, call you after ok?",,,
ham,"Also, Can you pick up milk on your way home? haha",,,
ham,"Actually, I'm on my way, be there in 10 mins let me know 3165",,,
ham,"Also, Nah I don't think I can make it tonight haha",,,
ham,SO THE KIDS ARE ASKING WHEN YOU'LL BE BACK HAHA,,,
ham,"Ok, Cool, see you then ok? 9689",,,
ham,"BTW, COOL, SEE YOU THEN SEE YA 5237",,,
ham,"Also, I'm on my way, be there in 10 mins thanks",,,
ham,"Ok, Nah I don't think I can make it tonight :)",,,
ham,"Btw, Mom said dinner is ready, come home",,,
ham,"Sorry I missed your call, was in a meeting see ya",,,
ham,"Just landed, will call you soon",,,
ham,"Well, U dun say so early hor, u c already then say see ya",,,
ham,"Also, Did you finish the report yet? haha 2871",,,
ham,"WELL, CAN YOU PICK UP MILK ON YOUR WAY HOME? NO RUSH",,,
ham,"Btw, I'm on my way, be there in 10 mins no rush",,,
ham,"Ok, Let's meet at the coffee shop at 9 thanks",,,
ham,"Btw, Can we reschedule our meeting to Friday? see ya",,,
ham,"Also, See you at the usual place tomorrow let me know 2848",,,
ham,"OK, U DUN SAY SO EARLY HOR, U C ALREADY THEN SAY SEE YA 5729",,,
ham,"Well, Good morning, hope you slept well thanks",,,
ham,"WELL, U DUN SAY SO EARLY HOR, U C ALREADY THEN SAY",,,
ham,"ALSO, U DUN SAY SO EARLY HOR, U C ALREADY THEN SAY 7001",,,
ham,"So Just landed, will call you soon thanks",,,
ham,"Hey, Just landed, will call you soon see ya 7375",,,
ham,"Ok, Mom said dinner is ready, come home :)",,,
ham,"WELL, OK LAR... I'LL CALL YOU LATER SEE YA",,,
ham,"BTW, SEE YOU AT THE USUAL PLACE TOMORROW THANKS",,,
ham,"BTW, LOL THAT'S SO FUNNY, SEND ME THE VIDEO NO RUSH",,,
spam,"Hi, Last chance! Claim your free prize now by calling 09050002311, offer closes at midnight tonight Reply STOP to opt out",,,
ham,"Hey, Ok lar... I'll call you later see ya",,,
ham,"Cool, see you then :)",,,
ham,"Well, How was your exam today? see ya",,,
ham,So Nah I don't think I can make it tonight,,,
ham,"Actually, See you at the usual place tomorrow thanks",,,
ham,"Actually, I left my keys at your place, can you check? thanks",,,
ham,"Hey, Sorry I missed your call, was in a meeting thanks",,,
ham,"Actually, See you at the usual place tomorrow :)",,,
ham,"Btw, Don't forget to bring your charger haha",,,
ham,"Btw, Please remember to feed the cat thanks",,,
ham,"Ok, Nah I don't think I can make it tonight see ya",,,
spam,ALERT: You have won a guaranteed cash prize! Reply CASH to claim your reward of £2000 now before offer ends T&Cs apply,,,
ham,"Actually, Lol that's so funny, send me the video see ya",,,
ham,"Also, What time does the movie start? no rush",,,
ham,"Hey, Can you send me the address again? no rush 5961",,,
spam,ALERT: FreeMsg: Txt CALL to 86888 and claim your reward of 3 hours talk time to use from your phone now T&Cs apply,,,
ham,"Also, Cool, see you then ok? 3103",,,
ham,"ALSO, I'M ON MY WAY, BE THERE IN 10 MINS THANKS",,,
ham,"Well, I'll pay you back on Friday, promise no rush",,,
ham,"Well, Thanks for helping me move last weekend",,,
ham,"Actually, I'll be there in five minutes haha",,,
ham,"Btw, Hey, are you free tonight? Let's grab dinner ok?",,,
ham,"OK, HEY, ARE YOU FREE TONIGHT? LET'S GRAB DINNER HAHA",,,
ham,"Btw, Happy birthday! Hope you have a great day no rush",,,
ham,"Well, Happy birthday! Hope you have a great day let me know",,,
ham,"Btw, I'm at the gym, call you after",,,
ham,"BTW, SEE YOU AT THE USUAL PLACE TOMORROW OK?",,,
ham,"Well, Ok lar... I'll call you later haha",,,
ham,"Well, Can we reschedule our meeting to Friday? :)",,,
spam,You have been randomly selected to win a shopping voucher. Text SHOP to 85023 now for free entry T&Cs apply,,,
ham,"Also, I'm running late, traffic is bad ok?",,,
ham,So What time does the movie start? no rush,,,
ham,"Also, I'm running late, traffic is bad let me know",,,
ham,"Hey, Hey, are you free tonight? Let's grab dinner :)",,,
ham,"So I left my keys at your place, can you check? ok?",,,
ham,"ALSO, HEY, ARE YOU FREE TONIGHT? LET'S GRAB DINNER NO RUSH",,,
ham,"Ok, The kids are asking when you'll be back ok? 3608",,,
ham,HOW WAS YOUR EXAM TODAY? LET ME KNOW,,,
ham,"Actually, Mom said dinner is ready, come home haha 6696",,,
ham,"Hey, Good morning, hope you slept well let me know",,,
ham,"Hey, Good morning, hope you slept well 3286",,,
spam,"Dear customer, Reminder: your reward of £750 is waiting, claim now by texting CLAIM to 82277 before it expires Offer ends soon",,,
ham,"Hey, I'm at the gym, call you after thanks",,,
ham,"Also, Thanks for helping me move last weekend thanks",,,
ham,"Ok, Thanks for helping me move last weekend thanks",,,
ham,"Ok, Can we reschedule our meeting to Friday? :)",,,
ham,"Well, Good morning, hope you slept well :) 4733",,,
spam,"NOTICE: Your account has been credited with £500. Reply YES to claim your bonus now, offer ends today T&Cs apply",,,
ham,"BTW, I'LL PAY YOU BACK ON FRIDAY, PROMISE THANKS 1185",,,
ham,"Btw, The kids are asking when you'll be back see ya",,,
ham,"ALSO, WHAT TIME DOES THE MOVIE START? THANKS",,,
ham,"Btw, The kids are asking when you'll be back let me know",,,
ham,"Actually, I'll pay you back on Friday, promise no rush",,,
ham,"Btw, Just landed, will call you soon haha 6439",,,
spam,ALERT: You have won a guaranteed cash prize! Reply CASH to claim your reward of £2000 now before offer ends Reply STOP to opt out,,,
ham,"Ok, How was your exam today?",,,
ham,"Btw, Let's meet at the coffee shop at 9 :)",,,
ham,"Hey, I'll be there in five minutes no rush",,,
ham,"Actually, Thanks for helping me move last weekend haha",,,
ham,"Hey, Can you send me the address again? let me know 5937",,,
ham,"Well, Thanks for helping me move last weekend",,,
spam,Congratulations! You've been selected to receive a FREE £1000 cash reward. Text CLAIM to 88888 now T&Cs apply,,,
ham,"Btw, Good morning, hope you slept well",,,
ham,"Well, Happy birthday! Hope you have a great day thanks",,,
ham,"Ok, Hey, are you free tonight? Let's grab dinner let me know",,,
ham,"Also, Mom said dinner is ready, come home :)",,,
ham,"SO COOL, SEE YOU THEN THANKS",,,
ham,So How was your exam today? no rush 4978,,,
ham,"Well, Let's meet at the coffee shop at 9 no rush",,,
ham,"Btw, Can you send me the address again? :)",,,
ham,"Hey, I'm on my way, be there in 10 mins :)",,,
ham,So Can you pick up milk on your way home? let me know,,,
ham,"HEY, WHAT ARE YOU DOING THIS WEEKEND? HAHA",,,
ham,"Well, I'm on my way, be there in 10 mins thanks",,,
ham,Don't forget to bring your charger,,,
ham,"Also, Lol that's so funny, send me the video haha",,,
ham,"Actually, Thanks for helping me move last weekend no rush",,,
ham,"Btw, Don't forget to bring your charger see ya",,,
ham,"Also, What time does the movie start? ok?",,,
ham,So Did you finish the report yet?,,,
spam,"Hi, SIX chances to win CASH! From 100 to 20,000 pounds. Text CSH11 and send to 87575 Limited time only",,,
ham,"ALSO, HOW WAS YOUR EXAM TODAY? OK? 2435",,,
ham,"Ok, Good morning, hope you slept well let me know",,,
ham,So Please remember to feed the cat,,,
ham,Can you pick up milk on your way home? no rush,,,
ham,"Ok, What are you doing this weekend? ok?",,,
ham,"Actually, I'm running late, traffic is bad thanks",,,
ham,"I'll pay you back on Friday, promise thanks 9996",,,
ham,How was your exam today? haha,,,
spam,"Hi, SIX chances to win CASH! From 100 to 20,000 pounds. Text CSH11 and send to 87575 Reply STOP to opt out",,,
ham,"Also, I'm on my way, be there in 10 mins see ya",,,
ham,"Good morning, hope you slept well see ya 3200",,,
ham,"Actually, I'm at the gym, call you after let me know",,,
spam,NOTICE: CONGRATULATIONS! YOU'VE BEEN SELECTED TO RECEIVE A FREE £1000 CASH REWARD. TEXT CLAIM TO 88888 NOW OFFER ENDS SOON,,,
ham,"Ok, The kids are asking when you'll be back ok?",,,
spam,NOTICE: WINNER!! As a valued customer you have been selected to receive a £900 prize reward! Call now,,,
ham,"Actually, Good morning, hope you slept well haha",,,
ham,"BTW, DON'T FORGET TO BRING YOUR CHARGER NO RUSH",,,
ham,"Hey, Sorry I missed your call, was in a meeting no rush",,,
ham,"So Sorry I missed your call, was in a meeting thanks",,,
ham,"Well, I'm running late, traffic is bad :) 4951",,,
ham,"Actually, Cool, see you then let me know",,,
ham,"Btw, Lol that's so funny, send me the video haha 2298",,,
ham,"Btw, Hey, are you free tonight? Let's grab dinner thanks 8183",,,
ham,"Btw, What are you doing this weekend? let me know",,,
ham,"Actually, Happy birthday! Hope you have a great day ok?",,,
ham,"ALSO, U DUN SAY SO EARLY HOR, U C ALREADY THEN SAY HAHA",,,
ham,"Btw, Hey, are you free tonight? Let's grab dinner haha 5600",,,
ham,"ACTUALLY, WHAT TIME DOES THE MOVIE START? HAHA",,,
ham,"So Cool, see you then :)",,,
spam,"Hi, URGENT! You have won a 1 week FREE membership in our £100,000 prize Jackpot! Call 09061701444 now",,,
spam,"Dear customer, Win a brand new car by entering our free draw. Text CAR to 89545 before offer closes tonight Offer ends soon",,,
ham,"Btw, Don't forget to bring your charger see ya",,,
ham,"Btw, I'll be there in five minutes haha",,,
ham,"Ok, Hey, are you free tonight? Let's grab dinner :)",,,
ham,"I left my keys at your place, can you check? see ya",,,
ham,"ALSO, WHAT TIME DOES THE MOVIE START? OK?",,,
ham,"Hey, I'm at the gym, call you after no rush",,,
ham,"Hey, See you at the usual place tomorrow see ya",,,
ham,"ALSO, I'LL BE THERE IN FIVE MINUTES OK?",,,
ham,"Hey, Please remember to feed the cat",,,
ham,"Btw, I'm running late, traffic is bad ok?",,,
ham,"Well, Let's meet at the coffee shop at 9 haha",,,
ham,"Ok, The kids are asking when you'll be back no rush 3869",,,
ham,So I'll be there in five minutes ok?,,,
ham,"Also, Cool, see you then no rush",,,
ham,"Hey, U dun say so early hor, u c already then say haha",,,
ham,"Also, What time does the movie start?",,,
ham,"Also, What time does the movie start? thanks",,,
ham,"WELL, I'M ON MY WAY, BE THERE IN 10 MINS",,,
ham,SO WHAT ARE YOU DOING THIS WEEKEND? :),,,
ham,"Ok, I'm running late, traffic is bad let me know",,,
ham,"Btw, Thanks for helping me move last weekend ok?",,,
ham,"Also, Sorry I missed your call, was in a meeting see ya",,,
ham,"Ok, Can you send me the address again? no rush",,,
ham,"Actually, I'm running late, traffic is bad no rush",,,
ham,So How was your exam today? see ya,,,
ham,"Actually, U dun say so early hor, u c already then say :)",,,
ham,So Can we reschedule our meeting to Friday? let me know 8204,,,
ham,"So I'm at the gym, call you after haha",,,
ham,"Btw, The kids are asking when you'll be back ok?",,,
ham,"Also, Don't forget to bring your charger 5584",,,
ham,"Btw, I'm running late, traffic is bad 4044",,,
spam,"Dear customer, Congratulations! You have been selected to receive a free iPhone. Claim now by texting CLAIM to 84484 Limited time only",,,
ham,"Well, Let's meet at the coffee shop at 9 let me know",,,
ham,"WELL, LOL THAT'S SO FUNNY, SEND ME THE VIDEO HAHA",,,
ham,"Ok, I'll be there in five minutes let me know 2868",,,
ham,"Ok, Nah I don't think I can make it tonight let me know 5106",,,
ham,"Well, I'll be there in five minutes see ya",,,
ham,"BTW, MOM SAID DINNER IS READY, COME HOME THANKS",,,
ham,"Also, Did you finish the report yet? let me know",,,
ham,"Also, Can we reschedule our meeting to Friday? thanks",,,
ham,"I left my keys at your place, can you check? thanks 2897",,,
